"","text"
"202","mdyasmara bilang aja jokowi dungu tak punya empati saat rakyatnya susah karena gempadia malah ribet jual dusta"
"203","restycayah jokowi niluhdjelantik kadrun bacot gde otak gada pantesan kya org stres "
"204","jokowi kerasan pakde di istana sampe budidaya cebong jadi kodok keknya bentar lg lahir pangeran kodoknya  "
"205","andisinulingga jokowi soalnye kalo ngomongin rekam jejak anies langsung nyungsep bang makanye ama presiden dibecandain kesitu wkwkwkwkwkwk"
"206","ferdyferandi jokowi mohmahfudmd polisinya aja gitu gimana masyarakatnya listyosigitp"
"207","bradharizz jokowi buktinya suara kadrun kalah di pilpres "
"208","geloraco pecat aja tuh jokowi biang kerok"
"209","abuwaras gak ngaruh  udah deh kepentingan lu sama kelompok lu kan gak usah kepedean suara lu sama kelompok lu gede banget keleus realistis lu jangan goblog kalo mau menangin anies suara pendukung jokowi juga lo harus ambil keleus tanya deh nasdem  "
"210","chalsofrivia robi sayasetiankri tanmarm jokowi goplak bong"
"211","idafarianda oiwillback trendusara idafarianda hey mbak apa urusannya jika nasdem deklarasi capres saat terjadi bencana jokowi saat ini adalah presiden apa kaitannya dengan urusan nasdem"
"212","para pendukung anies semakin panik dng elektabilitas ganjar akan jadi oposisi seumur hidup krn estafet kepemimpinan ada di tangan jokowi prabowo ganjar prabowo thn ganjar thn erick thn ahy udah tua  "
"213","presiden jokowi terima kehadiran ephorus hkbp di istana bogor "
"214","jokowi sudah melampaui kewenangan wajar jika kader pdip tersinggung "
"215","abuwaras jika jokowi bukan siapa siapa kenapa lawan politiknya selalu gerah dgn langkah politik jokowi "
"216","alvinlie jokowi terserah lu aja deh yg penting bukan anies b beruban"
"217","selebberita jokowi lanjut periode indonesia maju bersama bpk presiden jokowi beserta jajarannya  amin ya rabb "
"218","andisinulingga jokowi diadu saja gagasan narasi dan karya yang sdh di hasilkandiadu diruang publik lebih keren apalagi dengan berbahasa inggris"
"219","anakranto bungdenni helmifelis jokowi bukan batal bung nunggu lebaran kadal"
"220","lasoren bledozcity nusaciptainti msaiddidu konstitusi tidak mengharamkan orang utk mengusulkan jokowi periode konstitusi juga tidak mengharamkan orang minta jokowi turun"
"221","humaspoldajbr copot kapolres cianjur cc listyosigitp mohmahfudmd jokowi"
"222","presiden jokowi pastinya tak ingin apa yg telah dilakukannya dlm memperbaiki bangsa ini pada akhirnya terhenti ditangan orang yg tak memiliki kemampuan oleh karenanya sinyal dukungan jokowi pada erick thohir sbg org kepercayaannya utk memimpin bangsa ini tampak semakin nyata "
"223","jokowi memang besar tapi mbok ya yg besar itu hanya rakyat nya tambangnya dan alamnyajangan korupsi koruptor tambang ilegal pembalakan lahan ikut ikutan besar juga"
"224","tvonenews kalau jokowi tidak suka hura dalam situasi suka kenapa tdk dihentikan dobooool "
"225","bradharizz jokowi trus koq jagoan lo dl kalah ye  begok loe droen"
"226","jokowi jiper thd anies takut kalah maruwah  "
"227","bobbietrussell maryshelparaiso keren memang presiden jokowi masyarakat mendukung kinerja pemerintahan jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"228","chwiminnie nannybangtanot txtdrindomy ini pak jokowi rambutnya kan hitam berarti tidak memikirkan rakyatnya ya"
"229","nur deqlz trendusara alhamdulillah gw udah ngasih bantuan meski gak sampe jt seperti janji halunya jokowi yg gak pernah direalisasi "
"230","edanbolarcbfm monggo pak jokowi pak mohmahfudmd divhumaspolri pak jenderal listyosigitp di tuntaskan pak"
"231","novitanay bradharizz jokowi share disini videonya peserta dari monas sampai senensarinah tanpa terputus  solo juga ada waktu itu bertepatan dengan yang di monas ga sekalian klaim peserta berjubel dari monas sampai solo sering jajan gulai otak rm padang ya"
"232","wagimandeep jokowi dupak cangkeme"
"233","terimakasih kepada bapak presiden jokowi papuayouthcreativehub "
"234","tvonenews yaqutcqoumas loe jangan jelekin jokowi gitu dong"
"235","jokowi mang ente pernah dtg kemari trus rasain kesusahan ane sbg rakyat indonesiia yg sah weei pemimpin indonesia"
"236","sebenernya acara jokowi kemarin itu tujuan utamanya apa guys kampanye nyapres kan bukann soalnya udah ga bisa"
"237","pencerah toppak jokowi seumur hidup"
"238","olvaholvah jokowi dari clue rambut putihberarti sdh tahu jawabannya mengerikan sekali"
"239","mwlorgid aduuh rizaaaal jgn kayak anak kecil semua tahu nt gak dikasih jabatanterusan ngejelekin jokowi dengerin dong apan kata jusuf kala soal kamusdh lama viral di medsos"
"240","haesshmh restycayah jokowi niluhdjelantik jajang tulang lunak hieuhieuhiwu"
"241","bennyharmanid jokowi yes mantap pilihan pilpres nanti setelah pak jokowi memberikan clue pilpres ada rambut putih setelah pak prabowo kini pak jokowi memberi ciri rambut putih yaitu pak ganjar mngkn mereka akan jadi capres cawapres"
"242","justbiyuajah basrahmat pembelanalar oksmalmike tifsembiring ya berarti pendukung jokowi melanggar konstitusi"
"243","gara pak jokowi bilang klo pilih pemimpin pilih yg mukanya bnyak kerutan dan rambutnya putih wan toa lansung rubah penampilan  "
"244","abuwaras itu kan dimatamu yg picek itu kalo dimata jt rakyat indonesia jokowi jauh lbh bermartabat drpd sby amp keluarganya"
"245","bisa bedain kata anjing dengan anjeng min gara loe niluhdjelantik jadi pede ngeshare berita ini "
"246","andisinulingga jokowi pokoknya jangan pilih pemimpin yg ingin menang menggunakan "
"247","badoncl helmifelis jokowi tunggu mubahallah aja ya"
"248","akankah jokowi menjadi musuh nkri "
"249","tidak pernah sepanjang sejarah dpr sejak pemerinth jokowi selama periode tdk penah ada panggil jokowi padahal kekeliruan jokowi sudah luar biasa bohongnya luar biasa pendusta tp ungkap eggy sujana rakyatlebihcintaanies rakyatlebihcintaanies "
"250","syarman yuk kota cat putih semua  pak jokowi memang super toopp"
"251","presiden jokowi memberikan langsung bantuan korban gempa cianjur cianjur cianjurgempa jokowi jago "
"252","jokowi presiden relawan"
"253","pilihan tepat pak ganjar erick thohir capres dan cawapres pilihan jokowi bangkitbersamaet "
"254","mangdjanabdg satriohendri antaranews yg tidak mau para buzzer pendukung ahok ganjar dan pendukung jokowi mereka sudah nyaman di zaman jokowi maruf amin para buzzer di lindungi kebal hukum besok penerus juga begitu"
"255","jokowi menunggu badan tertimbun tanah tangis darah penyesalan tidak berguna perilaku dzolim akan terbalaskan ini adalah contoh sebuah puisi"
"256","uyokback harusnya bpk jokowi sadar kalau tim beliau ini sudah menipu dg dalih akan datang bnyk sukarelawan ada baiknya pecat saja tim yg kurang ajar karena pasti mereka sudah foya dg duit bapak"
"257","gregets restycayah jokowi niluhdjelantik lho ni kadrun pasti lagi kesulitan ekonomi ya lu kenapa kejang druuuuuun hieuhieuhiwu"
"258","bennyharmanid bang ga usah terbawa narasi mereka jokowi tiap kali salah langkah pasti akan playing victim"
"259","karsono panjianom diekclev wawan veelgeno sigromilir bonaleles winotoali uplu alamtimur biang nembenetes anwarbohebo syahriyalkamil meey topan suprayoga ntaryaa rondamedsos afridu mamattobat heryidris alekda jebenk uwongdeso wbintoro shield mahasiswigenz kemurahantuhan kmen mantova wandystjk dwynur salimbonim akamas juniwun aesthetickan nkrihar lovetoba antonku alan azq giofarubi imammursyalin bentir pardoaganis mansurmhd winoto bpsdkijakarta pksejahtera iya tp gak dibenarkan juga mas curi start kampanye lah emang klo pak jokowi silaturahim sama relawannya melanggar uu kpu mas"
"260"," banyak yang keluar dari sarangnya seperti cacing yang kepanasan menampakkan wajah mereka yang penuh benci terhadap pak jokowi gegara gak kuat melihat dan mendengar nasihat baik yang dibingkis secara sederhana ini"
"261","obrolanpublik ajakan rizal ramli utk pilih pemimpin pembual busuk dan munafik aniesbaswedan aniesfor ganjarpranowo jokowi sutanmangara bachrumachmadi oposisicerdas geloraco pakjk mdyasmara tatakujiyati ekowboy musniumar musniumarr geiszchalifah sbyudhoyono sctv"
"262","rupanya pak jokowi takut dengan gerakan massa seperti ini biarkan hukum alam bekerja pak "
"263","sobatanies naturalmichin jokowi maaf tidak bisa "
"264","jokowi bangsa besar dgn presiden kerdil dan pendukung penjilat negri wakanda"
"265","getarannusa maryshelparaiso masyarakat mengapresiasi pembangunan infrastruktur era presiden jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"266","rudybangun yaniarsim jokowi warga cianjur gak mau bantuan selain dari fpi "
"267","mrladusingh well konteksnya kan untuk pemimpin thn bang  berarti generasi penerus pilih yg rambutnya putih jangan milih jokowi lagi nanti kalo milih jokowi lagi atutnya ada yg kejang kejang "
"268","estiupay yusufdumdum selama di bungkus dalih agama mau ngapain aja di wakanda bisa cuma syg nya blm ada yg berani pake dalih agama buat nurunin jokowi"
"269","didienazhar ribut mulu looo hidup loo susah dak usah mikirin jokowi bukan level loo drunnn"
"270","jokowi gk malu pak bapak akui tidak pernah mikirin rakyat"
"271","ferdyferandi jokowi mohmahfudmd listyosigitp jangan riya katanya gak pakai pol identitas copot lah label namanya"
"272","yantireinke donadam semua pret orang yg dateng tetep hepy asik aja tuh yg gak dateng ngiri banyak bacot  tetep dong semua bangga dengan jokowi udah siapin aja tandingan ntar "
"273","pura marahrakyat sdh cerdas lagu lama "
"274","ngibul itu kalau beriman imannya lemah kalau gak beriman ya munafikun seorang pedagang mengaku terima amplop kosong ketika jokowi ke bandung munafikun rakyatlebihcintaanies rakyatlebihcintaanies "
"275","marquez andisinulingga jokowi pak kenapa tidak bisa diakses wkshwkabduemldbekabejzmfhctf"
"276","sobatanies partaisocmed jokowi saya jg blm follow dia kok sempat tertarik sih dg pendapat dia akhir akhir ini yg objektif pada kekuasaantapi namanya jg manusia ah sudahlah"
"277","new post akankah jokowi menjadi musuh nkri "
"278","loudminorities biasa yg doa kek gini bukan mikirin rakyat tapi mikirin kepentingan kelompoknya kena hasutan provokator amp politisi hitam mrk susah zaman jokowi keknya"
"279","vivacoid pak jokowi memang giant killer waktu itu prabowo yg mengusungnya jadi gubernur sekarang jadi menterinya pdip dan ketua umumnya masa gak panik sih"
"280","helmifelis jokowi panitia untung ribu "
"281","alextham takut bobroknya sendiri kebongkarera jokowi semua terwujut pembanguntidak ada yg mangkrakbravo pak jokowi "
"282","setuju apa kata bapak jokowi semangat untuk pemimpin kita berikutnya semua bisa meneruskan apa yang sudah di kerjakan nusantarabersatu gbk jokowi minggu relawanjokowi indonesiamaju gerakanmerahputih "
"283","agenda lengkap nusantara bersatu di gbk silaturahmi relawan jokowi hingga galang dana gempa cianjur "
"284","andisinulingga jokowi ada yang panik sdh road show gak laku ada rupa ada harga "
"285","robi presidenmerdeka sayasetiankri tanmarm jokowi mana bukti nya acara nipu"
"286","miduk  terungkap bukan sukarela peserta akui dibayar rp ribu untuk datangi acara relawan jokowi di gbk "
"287","madebylaluna ajakan bocil utk nikmati hidup amp life style hidup foya aniesbaswedan aniesfor ganjarpranowo jokowi sutanmangara bachrumachmadi oposisicerdas geloraco pakjk mdyasmara tatakujiyati ekowboy musniumar agusyudhoyono geiszchalifah sbyudhoyono sctv"
"288","leviosafa jokowi udah enek"
"289","leonitalestari pdiperjuangan jokowi hasto wah rambutnya putih kerut di wajah pun ada hmmm"
"290","democrazymedia ngibulll emang junjungan loo takutnya kadrunn sama massa jokowi dipersoalkan mikir periode dak nyapres dan sesuai konstitusi periode jokowi lo sasar trussstress dan oekokk"
"291","detikcom pak jokowi juga mikir rakyat tapi rambut tetap hitam jd agak kurang pas"
"292","ferdyferandi jokowi mohmahfudmd listyosigitp ini kapolres intoleran "
"293","sebateverytime bluelinedot dkijakarta majalahjakita pttransjakarta ada kok om di kampung halaman ortu pakdhe jokowi mirip jantung pisang klutuk "
"294","jokowi presiden seharusnya berdiri di semua golongan"
"295",""
"296","jokowi nglawak"
"297","komentari aksi relawan jokowi di gbk legislator jangan jebakjokowi "
"298","tanpa pakde jokowi pdip tdk mungkin menjadi partai pemenang pemilu dua periode saya bukan kader pdip tapi karena pakde jokowi makanya saya jadi senang pdip nah kalau pdip singkirkan pakde jokowi ganjar amp gibran maka selamat tinggal pdip "
"299","jokowi lah kok komennya malah negatif "
"300","restycayah kaesangp gibrantweet jokowi divhumaspolri puspentni mohmahfudmd fifacom pssi hey drun setelah ngatain kotor puas lanjutkan kan mmg kamu lahir dari dubur ini loh pemuja mu aniesbaswedan "
"301","jayak putridrupadi maryshelparaiso masyarakat mengapresiasi pembangunan infrastruktur era presiden jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"302","asumsico sinyal bhw puanmaharaniri mnrt kriteria jokowi ini tdk masuk sbg pemimpin yg mikirin rakyat"
"303","ngigau kau seruanhl justru kegiatan ini hanya merendahkan jokowi coba kau dengar apa pendapat pdi presiden aktif itu harusnya tidak takut ditinggal pendukung sbb cinta rakyat itu datang bkn krn ngumpul gini tapi manfaat dari jokowi jangan kau jadi sampah politik  "
"304","abdulkh jokowi serahkan semua sama yg diatas apabila yang maha esa berkehendak semua bisa saja terjadi karena lahir hidup dan mati hanya tuhan yg tau  salam nkri "
"305","mangdjanabdg hermanbudisant akunkeenam rahmaniarbaftim misskoral hmmurahmurahhm yoanangelic jokowi kiyaimarufamin tenaneeee"
"306","bradharizz jokowi toh gak bisa memenangkan pilpresuntuk apa"
"307","mananpodungge lu liat deh di cianjur para relawan sama bantuan ajah masih di palakin lawak banget jokowi yang kanjuruhan dateng ngebantu di kelarin biar adil liat noh partai nya diake seol itaewon aja mereka bisasetidaknya jokowi kesana buat liat kondisi oh gini oke harus di siapin"
"308","maryshelparaiso ennylowe jokowi majukan pembangunan indonesia jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur"
"309","jokowi astaghfirullah segeralah bertobat om jokowi apakah dirimu tidak malu dengan anak cucumu kelak apakah kau tidak takut akan siksa kubur dan akherat kelak ya alloh berilah om jokowi hidayahmu"
"310","bradharizz jokowi segitu ya tapi tetap saja presiden nya pak jokowi "
"311"," organisasi profesi bersurat ke jokowi berikut alasan tolak ruukesehatan "
"312"," organisasi profesi bersurat ke jokowi berikut alasan tolak ruukesehatan "
"313","jokowi sangat s bpk"
"314","muslim arbi jokowi seolah ingin jadi king maker dan mau menikam megawati dari belakang "
"315","imwulannr trendusara tolong ambil juga segi positifnya  dalam acara tersebut juga digelar doa bersama dan penggalangan dana bantuan dari para relawan jokowi untuk para korban gempa cianjur intinya kan pemerintah bersama jajarannya ga tutup mata dan hadir dalam penanganan korban gempa "
"316","restycayah leoalqassam niluhdjelantik jokowi ini koreng memang by design buat bintang iklan"
"317","tnhr micheladaml micheladam jokowi bisanya menipu menindas memeras mengancam mengintimidasi memenjarakanmerampas harta dan berbagai aset rakyat semua rakyat pasti ikhlas melepas kepergian beliau dari istana rakyat rakyatlebihcintaanies rakyatlebihcintaanies"
"318","jokowi sekarang jaman uda beda pakde berkeringat bersama rakyat kerjax gitu bodoh amat pantes dikerjain china mulu  klo pemimpin hebat itu ajak elaborasi dan kolaborasi pemilik modal dan rakyat untuk sejahtera bersama bukan kaya sendiri  "
"319","andisinulingga jokowi marah mulu drun"
"320","sari opposite cerminan pendukung buzzer jokowi maruf amin congor orang beragama lebih bagus sama orang kafir hanya di zaman pemerintah jokowi maruf amin buzzer bisa omong begitu"
"321","fanyyfawak aprilialin jokowi masa sihh bang "
"322","jokowi segeralah turun pak capek hidup di rezim ini"
"323"," sebetulnya gak sulit untuk mencerna kalimat pak jokowi ini pak jokowi sedang mengingatkan pilihlah pemimpin yang bersungguh amp ikhlas bekerja untuk rakyat pemimpin yang betulbetul bekerja menyejahterakan rakyatnya memerangi kemiskinan "
"324"," catatan musra relawan jokowi setelah hrs berhasil gelar reuni jokowi juga unjuk kekuatan dengan adakan ulang tahun fatayat nu yang belum tiba saatnya ultah saat itu di gbk rakyatlebihcintaanies rakyatlebihcintaanies "
"325","jokowi saya ngtag jokowi sebagai orang yg ditunjuk relawan untuk isi acara bukan pejabat negara jadi jangan dianggap ngina kepala negara wi jokowi lambemu palsu wi jokowi lambemu palsu wi jokowi lambemu palsu "
"326","aniesbaswedan ohh jadi bapak dulu mendikbud yang gk bisa kerja ya pak yang bisa nya olah kata yang akhirnya dipecat sama pak jokowi trus jadi barisan mantan yang sakit hati dan sekrang dendam punya ambisi jadi ri semoga bapak jadi ri ke "
"327","kendalbo sweenpickaw helmifelis jokowi loh kan yg opoaisinya yg kek babi "
"328","ribuan ibuibu nu merasa ditipu diundang ke gbk jakarta untuk istighosah ternyata acara berbau politik relawan jokowi dengan musik dangdut "
"329","inilahdotcom jokowi jkw tau penyakit makanya ngga dateng "
"330","ridwana getarannusa maryshelparaiso terima kasih pak jokowi masyarakat bangga jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"331"," catatan musra relawan jokowi jokowi pdip unjuk kekuatan relawan berbayar di gubk untuk saingi pendukung anies yang selalu membludak di berbagai daerah yang dikunjungi anies rakyatlebihcintaanies rakyatlebihcintaanies "
"332","hidayat joksuper pencerah emang dikiranya yg lulus slta dan kuliah cuma di zaman jokowi woi cebong goblok bodoh n tolol yg lulus sma dan kuliah sejak zaman bung karno udah ada kalau tolol jangan diborong sendiri "
"333","triliuner ayubharis jokowi moncong macam kau ini membawa keretakan"
"334","nuraini matanepicek punokawan detikcom katanya rejeki lewat tangan jokowi giliran ada pandemi rejeki dibalikin ke tangan tuhan taek luh"
"335","naturalmichin partaisocmed jokowi mas tum partaisocmed mungkin bisa berkawn dgn akun krisna diatas "
"336","triliuner chusnulch jokowi da gua kata lu kalo punya data cari berita peak  lu ngapain ampe ngetag kesana kemari peak lu "
"337","bobbietrussell maryshelparaiso mantap terima kasih pak jokowi salam dari surabaya jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"338","nadegemarzan putridrupadi maryshelparaiso mantap terima kasih pak jokowi salam dari surabaya jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"339","rantajawi jayak maryshelparaiso itu semua berkat kinerja pak jokowi yang sangat baik masyarakat bangga jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"340","kepercayaan yg diberikan presiden jokowi pada erick thohir bukanlah tanpa dasar jokowi tahu persis kemampuan dan rasa tanggung jawab erick thohir setiap kali menjalankan tugas negara kecerdasan dan kepiawaiannya bisa diandalkan bangkitbersamaet "
"341",""
"342","alfkey sekali lagi doa ku ini berlaku jika kau masih ga sadar sadar klo udh sadar alias tobat yaa alhamdulillah anda mudahan aja selamat dari dampak parah krisis iklim yg salah satunya diakibatkan oleh ulah jokowi"
"343","jokowi kanjuruancianjur bp malh ngadain pesta dn luc malh nyurh pilh plesiden p sby g ad sewktu beliau mo berhnti"
"344","karsono panjianom diekclev wawan veelgeno sigromilir bonaleles winotoali uplu alamtimur biang nembenetes anwarbohebo syahriyalkamil meey topan suprayoga ntaryaa rondamedsos afridu mamattobat heryidris alekda jebenk uwongdeso wbintoro shield mahasiswigenz kemurahantuhan kmen mantova wandystjk dwynur salimbonim akamas juniwun aesthetickan nkrihar lovetoba antonku alan azq giofarubi imammursyalin bentir pardoaganis mansurmhd winoto bpsdkijakarta pksejahtera emang kmrn temu kangen relawan itu kampanye pak jokowi periode mas mas hrsnya ke anies dia udh safari politik kmn kmn tp makin memburuk elektabilitasnya"
"345","helmifelis jokowi hahaha sdh g kaget lempar sendiri makan sendiri hal ini buat yg sakit saja krn kalau sembuh harus sakit dahulu"
"346","mananpodungge di saat jokowi berusaha di kira pencitraan sama klean kurang apalagi utang negara udh di lunasinindonesia termasuk negara yang bamgkit di taun depan di masa krisis nya ekonomi dunia segitu masih lu bilang gada hati nurani"
"347","didienazhar untung anak anak pak jokowi orang nya santuycoba kalo bapakmu pas lagi nawar psk dan di post pasti loe kebakaran jembaaaat"
"348","waaaaah goookil emang pada ga bisa ya buang sampah sendiri gituu "
"349","bachrumachmadi jokowi yes mantap pilihan pilpres nanti setelah pak jokowi memberikan clue pilpres ada rambut putih setelah pak prabowo kini pak jokowi memberi ciri rambut putih yaitu pak ganjar mngkn mereka akan jadi capres cawapres"
"350","renhyucz ampun minta ampun kpd bpk jokowi "
"351","helmifelis jokowi gak ikut pilpres tapi ada yang panik "
"352","kangac bungdenni jokowi emang konstitusi tu apaan"
"353","jokowi bapak jokowi yth tolong pak kepada anak pinggiran tolong sekali lagi tolong mereka pak saya sedih melihat mereka anak cewek di palembang umur sampai tahun di jalan yg mencari bahan bekas tidak sekolah tolong pak akhir jabatan bapak"
"354","jokowi kalau dalam ajaran islam rambut putih itu tanda harus banyak bertaubat pak tanda jika umur kita sudah masuk ke step berikutnya"
"355","jokowi bapak tau harga telor naik meraskaan gak"
"356","jokowi selama dinegara ini masih ada rakyat yg bisa di suap uang receh nasi bungkus untuk datang ke acara apapun itu sampai kapanpunsuara rakyat dalam pemilu masih bisa dibeli dengan harga murah jujur saja rakyat bodoh dan miskin memang masih banyak disitulah pemilih anda "
"357","ucapan selamat bertugas pm malaysia anwar ibrahim dri presiden jokowi  "
"358","putridrupadi maryshelparaiso masyarakat ber terimakasih kepada presiden jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"359","jokowi berarti tahun menjabat rambut masih item contoh pemimpin yg gk pernah mikirin rakyat ya bos"
"360","semua yg keluar dari mulut jokowi itu sampah gan malas banget aku dengerin omongan dia "
"361","kevynsaverio andisinulingga jokowi maaf ralat yg bener sorry i am is stupid ada isnya ya"
"362","andisinulingga jokowi kowe dipecat arb dari golkar berarti kowe malinglha wong pecatan ngajarin jokowimanusia kayak kamu yg kasih indonesia mundur"
"363","jokowi ingatkan jangan sampai salah pilih pemimpin warganet presiden atau petugas kampanye "
"364","ryanlie higgsdominoid jokowi kemkominfo kayak nya kita butuh hacker pikir dari pada buat isi koin lebih baik buat bayar hacker handal aja buat obrak abrik sistem hdi"
"365","kahmi apresiasi kinerja pemerintahan jokowimaruf "
"366","bobbietrussell maryshelparaiso mantap terima kasih pak jokowi salam dari surabaya jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"367","partaisocmed udh karakter bangsa sih mau acara siapapun sama saja budaya buang sampah sembarangan sudah mendarah daging hrsnya panitia or jokowi itu sendiri yg sering teriak revoluso mental ngingetin pendukung nya utk rapi dan bersih cuma bacotan kampanye revolusi mental"
"368","eppoy sentinelshot dssupriyady cnnindonesia iya gw sirik banget koq bisa nya seorang kepala negara dijebak kek gini kan sedih banget "
"369","engineerpajak kenapabingung restycayah msaiddidu jokowi oi binatang anjing kau mampus aja dikit dikit salah kan orang anjing macam kau berprestasi buat negara ini taek sipat manusia macam kau inilah yg menghancurkan nusantara ini sejak indonesia masih kerajaan iri dengki kebencian tiada akhir taek anjing kau"
"370","verraagustian ajaran buya utk pilih anies sbg pemimpin aniesbaswedan aniesfor ganjarpranowo jokowi sutanmangara bachrumachmadi oposisicerdas geloraco pakjk mdyasmara tatakujiyati ekowboy musniumar musniumarr geiszchalifah sbyudhoyono sctv"
"371","kenapabingung restycayah msaiddidu jokowi oi binatang anjing kau mampus aja dikit dikit salah kan orang anjing macam kau berprestasi buat negara ini taek sipat manusia macam kau inilah yg menghancurkan nusantara ini sejak indonesia masih kerajaan iri dengki kebencian tiada akhir taek anjing kau"
"372","mariamuna mantap pak jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur ganjarpilihanjokowi "
"373","realbaco restycayah dia itu gak ngamuk wong dia juga gak peduli dg jokowi dia cuma caper alias menjilat pd jokowi biar makin di lindungi"
"374","sobatanies partaisocmed jokowi g usah saya blokirnanti dia akan di blokir ama dirinya sendiri"
"375","moonareas nicetrydud bandarkorup jokowi cinta "
"376","drevachaniago jokowi merasa tertampar seperti yg pernah dia katakan gak "
"377","fafamarifah abjadbiru jokowi kitaaaaaa lo ajj kali gue enggak"
"378","usai berkeliling dengan para wartawan presiden jokowi kembali ke pendopo wantilan untuk menanti kedatangan para pemimpin g dan organisasi internasional presiden jokowi dan para pemimpin delegasi g dijadwalkan untuk menanam pohon mangrove bersama "
"379","maryshelparaiso mantap memang pak jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur"
"380","cobeh jokowi pendendam"
"381","ramai capres rambut putih netizen kaitkan kriteria presiden jokowi mengarah terhadap ganjar pranowo "
"382","andisinulingga jokowi pesab saya buat lae jadilah rakyat yg arif mengkritik dengan data dan hati nurani tanpa maksud terselubung"
"383","kangl silahkan sakit hati sampai mati dan pak jokowi tetap presiden ri"
"384","menteri merangkap agen asuransi coba mas prastow usul ke menkeu agar gaji menteri dinaikin sehingga para menteri fokus bekerja utk urusan publik amp taat konstitusi cc jokowi puanmaharaniri "
"385","detikcom jokowi ga tau terimakasih pdiperjuangan hasto"
"386","jokowi pendendam "
"387","micheladaml tnhr freedomland jokowi hari ini kontan besok baru boleh pak jokowingurusi lingkungan rakyatlebihcintaanies rakyatlebihcintaanies"
"388","mananpodungge eh sorry setidaknya walau gw gk kesanah gw ikut nyumbang lewat armycaratsama blink yah anj bantuan juga udh pada kesanahbukan berarti jokowi jadi junjungan ente bawa bawa allah ajah buat nyumpahin jelek yang belum pasti lawak"
"389","sebaiknya presiden jokowi tdk memberi pernyataan yg beraneka ragam terkait dgn capres amp cawapres ini memberi kesan kepada masyarakat indonesia bahwa dia masih doyan kekuasaan serta kurang paham politik amp demokrasi juga menjauhkan dirinya dipahami rakyat sbg seorang negarawan"
"390","yakuzavalhen foxpole agushamra tanmarm chusnulch erickthohir listyosigitp divhumaspolri kodok koreng penymbah jokowi emang paling goblok deh  sejak kapan acara doa ada dangdutan dobol kuro loe "
"391","jokowi yth bapak presiden indonesia tolong baca sedikit komentar saya pak disini di palembang banyak sekali anak umur sampai tahun yg tidur di jalan yatim piatu yg kerja mencari bahan bekas mereka tidak sekolah pak tolong masa jabatan bapak yg tersisa tolong mereka pak"
"392","jokowi pler lah kau pemimpin bekasi kota dr pdip kerja hasilnya ampas tai"
"393","herryashari betul sayang terganjal system konstitusi kita padahal bangsa dan negara kita masih sangat membutuhkan kepemimpinan jokowi "
"394","tepat yg dikatakan panda nababan tak mungkin seorang jokowi memberi tanggungjawab pada seseorang utk membantu menangani pernikahan puteranya bila tdk benar mempercayainya dg di berikannya tanggung jawab pada erick thohir artinya jokowi benar mempercayainya bangkitbersamaet "
"395","ferdyferandi jokowi mohmahfudmd listyosigitp ada yang ngerti cara berpikir pak polisi ini "
"396","inichxma pk jokowi"
"397","pak haji jokowi lebih rajin salat dan lebih rajin puasa daripada kadrun radikal "
"398","matosisativa insan jokowi lah dia presiden kurang power apalagimau jadi raja seumur hidup"
"399","demangsinuhun restycayah jokowi hok hok si kadal ngamuk "
"400","malanghammers pecutpecutan pak jokowi niki loh rakyate njenengan sing nyuwun keadilan dugi pemerintah"
"401","yang tampak manis di depan pak jokowi disebuah perhelatan akbarmenampakan wajah aslinya setelah acara reuni pak jokowi dengan para pendukungnya ternyata mereka itubutuh tapi benci nyesek banget emang"
"402","jokowi situ mikir rakyat ora"
"403","pidato pakde jokowi ketika acara nusantara bersatu kemaren nusantarabersatu gelorabungkarno "
