"","klasifikasi","score","text"
"183","Negatif",-2,"jokowi raih pengharagaan global leadership award pengamat wajar dan sudah tepat "
"184","Negatif",-4,"gerakanies mimpi anis kecuali the power of ordal ya setelah bpk jokowi ga tau lgi negara ini mau jdi apa paling berantakan lgi korup marak lgi "
"185","Netral",0,"miduk  kecewanya peserta acara relawan jokowi di gbk katanya mau shalawat qubro ternyata enggak ada "
"186","Netral",0,"rismawidiono jokowi ganjarpranowo trus yg sekarang mikir gimana caranya jual aset gitu "
"187","Negatif",-1,"tanmarm jokowi yes mantap pilihan pilpres nanti setelah pak jokowi memberikan clue pilpres ada rambut putih setelah pak prabowo kini pak jokowi memberi ciri rambut putih yaitu pak ganjar mngkn mereka akan jadi capres cawapres"
"188","Negatif",-3,"maranatha hasbillbs jokowi dennysiregar gunromli firzahusain affan yusufdumdum nich pki nya pada kabur perkumpulan kodok idiot sudah puluhan akun yg debat ama gue akhirnya mampus semua pengecut semua otak kosongnyali bencong firzahusaininc firzahusainid gunromli dennysiregar chusnulch yusufdumdum mediapemberani wanimaju listyorini"
"189","Negatif",-2,"trendusara orang klo uda skt hati tingkat parahapapun yg di lakukan pk jokowi di mata mereka tetap salahpertahankan sakit hati mu "
"190","Netral",0,"ferdyferandi jokowi mohmahfudmd listyosigitp bisa jadi polisi sunah ini"
"191","Negatif",-1,"bradharizz jokowi para cebonk  nggk perlu syiar show of force semacam itu untuk nunjukin mayoritasudah norak basi pulaseberapapun mereka bnyak turun kejalanttp aja nggk sebanyak jt pemilih rakyat indonesia yg memilih paslon capres no dipilpres kmrin"
"192","Netral",0,"hantoro jokowi jika pemerintah saja suka mengkorupsi bantuan sosial apalagi relawan nya "
"193","Positif",1,"siti kusmini jokowi ollo soekarno luhut gogon jeno amp lesbiana lu pada aslinya siapa blh komen mau gw list dalam laporan"
"194","Negatif",-1,"politikus senior pdip bukabukaan soal susi hubungi jokowi demi menghindari ajakan jk "
"195","Positif",1,"ridwana maryshelparaiso terima kasih pak jokowi masyarakat bangga jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"196","Negatif",-1,"ekakak jokowi jangan nanti kadrun nangis garuk tanah "
"197","Netral",0,"karsono panjianom diekclev wawan veelgeno sigromilir bonaleles winotoali uplu alamtimur biang nembenetes anwarbohebo syahriyalkamil meey topan suprayoga ntaryaa rondamedsos afridu mamattobat heryidris alekda jebenk uwongdeso wbintoro shield mahasiswigenz kemurahantuhan kmen mantova wandystjk dwynur salimbonim akamas juniwun aesthetickan nkrihar lovetoba antonku alan azq giofarubi imammursyalin bentir pardoaganis mansurmhd winoto bpsdkijakarta pksejahtera katanya mas pak jokowi melanggar uu bawaslu berarti kan mas udh tau poin poin larangan kampanye kok malah balik nanya ke saya "
"198","Negatif",-3,"kompastv kalau begitu bapak jokowi bukan pemimpin karena tdk ada rambut putih yg kelihatan"
"199","Negatif",-2,"yulienew rezim jokowi bner bner jorok kelakuan mereka itu suka koreng ya "
"200","Positif",2,"bungdenni loh kampanye terselubung gimana jokowi mau nyapres lagi emang bisa wah tanda tahun masa kini ini mah"
"201","Negatif",-1,"jokowi duh malu atuh paaaaak kok ngaku sendiri gk pernah mikirin rakyat"
"202","Negatif",-4,"mdyasmara bilang aja jokowi dungu tak punya empati saat rakyatnya susah karena gempadia malah ribet jual dusta"
"203","Negatif",-2,"restycayah jokowi niluhdjelantik kadrun bacot gde otak gada pantesan kya org stres "
"204","Netral",0,"jokowi kerasan pakde di istana sampe budidaya cebong jadi kodok keknya bentar lg lahir pangeran kodoknya  "
"205","Netral",0,"andisinulingga jokowi soalnye kalo ngomongin rekam jejak anies langsung nyungsep bang makanye ama presiden dibecandain kesitu wkwkwkwkwkwk"
"206","Netral",0,"ferdyferandi jokowi mohmahfudmd polisinya aja gitu gimana masyarakatnya listyosigitp"
"207","Negatif",-1,"bradharizz jokowi buktinya suara kadrun kalah di pilpres "
"208","Negatif",-1,"geloraco pecat aja tuh jokowi biang kerok"
"209","Negatif",-2,"abuwaras gak ngaruh  udah deh kepentingan lu sama kelompok lu kan gak usah kepedean suara lu sama kelompok lu gede banget keleus realistis lu jangan goblog kalo mau menangin anies suara pendukung jokowi juga lo harus ambil keleus tanya deh nasdem  "
"210","Netral",0,"chalsofrivia robi sayasetiankri tanmarm jokowi goplak bong"
"211","Negatif",-2,"idafarianda oiwillback trendusara idafarianda hey mbak apa urusannya jika nasdem deklarasi capres saat terjadi bencana jokowi saat ini adalah presiden apa kaitannya dengan urusan nasdem"
"212","Positif",1,"para pendukung anies semakin panik dng elektabilitas ganjar akan jadi oposisi seumur hidup krn estafet kepemimpinan ada di tangan jokowi prabowo ganjar prabowo thn ganjar thn erick thn ahy udah tua  "
"213","Positif",1,"presiden jokowi terima kehadiran ephorus hkbp di istana bogor "
"214","Negatif",-2,"jokowi sudah melampaui kewenangan wajar jika kader pdip tersinggung "
"215","Negatif",-4,"abuwaras jika jokowi bukan siapa siapa kenapa lawan politiknya selalu gerah dgn langkah politik jokowi "
"216","Negatif",-1,"alvinlie jokowi terserah lu aja deh yg penting bukan anies b beruban"
"217","Netral",0,"selebberita jokowi lanjut periode indonesia maju bersama bpk presiden jokowi beserta jajarannya  amin ya rabb "
"218","Negatif",-1,"andisinulingga jokowi diadu saja gagasan narasi dan karya yang sdh di hasilkandiadu diruang publik lebih keren apalagi dengan berbahasa inggris"
"219","Negatif",-1,"anakranto bungdenni helmifelis jokowi bukan batal bung nunggu lebaran kadal"
"220","Negatif",-2,"lasoren bledozcity nusaciptainti msaiddidu konstitusi tidak mengharamkan orang utk mengusulkan jokowi periode konstitusi juga tidak mengharamkan orang minta jokowi turun"
"221","Netral",0,"humaspoldajbr copot kapolres cianjur cc listyosigitp mohmahfudmd jokowi"
"222","Positif",7,"presiden jokowi pastinya tak ingin apa yg telah dilakukannya dlm memperbaiki bangsa ini pada akhirnya terhenti ditangan orang yg tak memiliki kemampuan oleh karenanya sinyal dukungan jokowi pada erick thohir sbg org kepercayaannya utk memimpin bangsa ini tampak semakin nyata "
"223","Negatif",-5,"jokowi memang besar tapi mbok ya yg besar itu hanya rakyat nya tambangnya dan alamnyajangan korupsi koruptor tambang ilegal pembalakan lahan ikut ikutan besar juga"
"224","Netral",0,"tvonenews kalau jokowi tidak suka hura dalam situasi suka kenapa tdk dihentikan dobooool "
"225","Netral",0,"bradharizz jokowi trus koq jagoan lo dl kalah ye  begok loe droen"
"226","Netral",0,"jokowi jiper thd anies takut kalah maruwah  "
"227","Netral",0,"bobbietrussell maryshelparaiso keren memang presiden jokowi masyarakat mendukung kinerja pemerintahan jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"228","Negatif",-2,"chwiminnie nannybangtanot txtdrindomy ini pak jokowi rambutnya kan hitam berarti tidak memikirkan rakyatnya ya"
"229","Positif",3,"nur deqlz trendusara alhamdulillah gw udah ngasih bantuan meski gak sampe jt seperti janji halunya jokowi yg gak pernah direalisasi "
"230","Netral",0,"edanbolarcbfm monggo pak jokowi pak mohmahfudmd divhumaspolri pak jenderal listyosigitp di tuntaskan pak"
"231","Negatif",-4,"novitanay bradharizz jokowi share disini videonya peserta dari monas sampai senensarinah tanpa terputus  solo juga ada waktu itu bertepatan dengan yang di monas ga sekalian klaim peserta berjubel dari monas sampai solo sering jajan gulai otak rm padang ya"
"232","Netral",0,"wagimandeep jokowi dupak cangkeme"
"233","Netral",0,"terimakasih kepada bapak presiden jokowi papuayouthcreativehub "
"234","Netral",0,"tvonenews yaqutcqoumas loe jangan jelekin jokowi gitu dong"
"235","Netral",0,"jokowi mang ente pernah dtg kemari trus rasain kesusahan ane sbg rakyat indonesiia yg sah weei pemimpin indonesia"
"236","Negatif",-2,"sebenernya acara jokowi kemarin itu tujuan utamanya apa guys kampanye nyapres kan bukann soalnya udah ga bisa"
"237","Positif",1,"pencerah toppak jokowi seumur hidup"
"238","Negatif",-2,"olvaholvah jokowi dari clue rambut putihberarti sdh tahu jawabannya mengerikan sekali"
"239","Negatif",-1,"mwlorgid aduuh rizaaaal jgn kayak anak kecil semua tahu nt gak dikasih jabatanterusan ngejelekin jokowi dengerin dong apan kata jusuf kala soal kamusdh lama viral di medsos"
"240","Netral",0,"haesshmh restycayah jokowi niluhdjelantik jajang tulang lunak hieuhieuhiwu"
"241","Negatif",-1,"bennyharmanid jokowi yes mantap pilihan pilpres nanti setelah pak jokowi memberikan clue pilpres ada rambut putih setelah pak prabowo kini pak jokowi memberi ciri rambut putih yaitu pak ganjar mngkn mereka akan jadi capres cawapres"
"242","Negatif",-1,"justbiyuajah basrahmat pembelanalar oksmalmike tifsembiring ya berarti pendukung jokowi melanggar konstitusi"
"243","Netral",0,"gara pak jokowi bilang klo pilih pemimpin pilih yg mukanya bnyak kerutan dan rambutnya putih wan toa lansung rubah penampilan  "
"244","Netral",0,"abuwaras itu kan dimatamu yg picek itu kalo dimata jt rakyat indonesia jokowi jauh lbh bermartabat drpd sby amp keluarganya"
"245","Negatif",-2,"bisa bedain kata anjing dengan anjeng min gara loe niluhdjelantik jadi pede ngeshare berita ini "
"246","Positif",1,"andisinulingga jokowi pokoknya jangan pilih pemimpin yg ingin menang menggunakan "
"247","Netral",0,"badoncl helmifelis jokowi tunggu mubahallah aja ya"
"248","Negatif",-2,"akankah jokowi menjadi musuh nkri "
"249","Netral",0,"tidak pernah sepanjang sejarah dpr sejak pemerinth jokowi selama periode tdk penah ada panggil jokowi padahal kekeliruan jokowi sudah luar biasa bohongnya luar biasa pendusta tp ungkap eggy sujana rakyatlebihcintaanies rakyatlebihcintaanies "
"250","Positif",1,"syarman yuk kota cat putih semua  pak jokowi memang super toopp"
"251","Netral",0,"presiden jokowi memberikan langsung bantuan korban gempa cianjur cianjur cianjurgempa jokowi jago "
"252","Netral",0,"jokowi presiden relawan"
"253","Positif",1,"pilihan tepat pak ganjar erick thohir capres dan cawapres pilihan jokowi bangkitbersamaet "
"254","Positif",1,"mangdjanabdg satriohendri antaranews yg tidak mau para buzzer pendukung ahok ganjar dan pendukung jokowi mereka sudah nyaman di zaman jokowi maruf amin para buzzer di lindungi kebal hukum besok penerus juga begitu"
"255","Negatif",-1,"jokowi menunggu badan tertimbun tanah tangis darah penyesalan tidak berguna perilaku dzolim akan terbalaskan ini adalah contoh sebuah puisi"
"256","Negatif",-6,"uyokback harusnya bpk jokowi sadar kalau tim beliau ini sudah menipu dg dalih akan datang bnyk sukarelawan ada baiknya pecat saja tim yg kurang ajar karena pasti mereka sudah foya dg duit bapak"
"257","Negatif",-3,"gregets restycayah jokowi niluhdjelantik lho ni kadrun pasti lagi kesulitan ekonomi ya lu kenapa kejang druuuuuun hieuhieuhiwu"
"258","Negatif",-2,"bennyharmanid bang ga usah terbawa narasi mereka jokowi tiap kali salah langkah pasti akan playing victim"
"259","Negatif",-3,"karsono panjianom diekclev wawan veelgeno sigromilir bonaleles winotoali uplu alamtimur biang nembenetes anwarbohebo syahriyalkamil meey topan suprayoga ntaryaa rondamedsos afridu mamattobat heryidris alekda jebenk uwongdeso wbintoro shield mahasiswigenz kemurahantuhan kmen mantova wandystjk dwynur salimbonim akamas juniwun aesthetickan nkrihar lovetoba antonku alan azq giofarubi imammursyalin bentir pardoaganis mansurmhd winoto bpsdkijakarta pksejahtera iya tp gak dibenarkan juga mas curi start kampanye lah emang klo pak jokowi silaturahim sama relawannya melanggar uu kpu mas"
"260","Negatif",-2," banyak yang keluar dari sarangnya seperti cacing yang kepanasan menampakkan wajah mereka yang penuh benci terhadap pak jokowi gegara gak kuat melihat dan mendengar nasihat baik yang dibingkis secara sederhana ini"
"261","Negatif",-4,"obrolanpublik ajakan rizal ramli utk pilih pemimpin pembual busuk dan munafik aniesbaswedan aniesfor ganjarpranowo jokowi sutanmangara bachrumachmadi oposisicerdas geloraco pakjk mdyasmara tatakujiyati ekowboy musniumar musniumarr geiszchalifah sbyudhoyono sctv"
"262","Positif",2,"rupanya pak jokowi takut dengan gerakan massa seperti ini biarkan hukum alam bekerja pak "
"263","Positif",1,"sobatanies naturalmichin jokowi maaf tidak bisa "
"264","Negatif",-1,"jokowi bangsa besar dgn presiden kerdil dan pendukung penjilat negri wakanda"
"265","Negatif",-1,"getarannusa maryshelparaiso masyarakat mengapresiasi pembangunan infrastruktur era presiden jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"266","Positif",1,"rudybangun yaniarsim jokowi warga cianjur gak mau bantuan selain dari fpi "
"267","Negatif",-2,"mrladusingh well konteksnya kan untuk pemimpin thn bang  berarti generasi penerus pilih yg rambutnya putih jangan milih jokowi lagi nanti kalo milih jokowi lagi atutnya ada yg kejang kejang "
"268","Netral",0,"estiupay yusufdumdum selama di bungkus dalih agama mau ngapain aja di wakanda bisa cuma syg nya blm ada yg berani pake dalih agama buat nurunin jokowi"
"269","Negatif",-2,"didienazhar ribut mulu looo hidup loo susah dak usah mikirin jokowi bukan level loo drunnn"
"270","Negatif",-1,"jokowi gk malu pak bapak akui tidak pernah mikirin rakyat"
"271","Netral",0,"ferdyferandi jokowi mohmahfudmd listyosigitp jangan riya katanya gak pakai pol identitas copot lah label namanya"
"272","Negatif",-1,"yantireinke donadam semua pret orang yg dateng tetep hepy asik aja tuh yg gak dateng ngiri banyak bacot  tetep dong semua bangga dengan jokowi udah siapin aja tandingan ntar "
"273","Positif",1,"pura marahrakyat sdh cerdas lagu lama "
"274","Negatif",-3,"ngibul itu kalau beriman imannya lemah kalau gak beriman ya munafikun seorang pedagang mengaku terima amplop kosong ketika jokowi ke bandung munafikun rakyatlebihcintaanies rakyatlebihcintaanies "
"275","Positif",1,"marquez andisinulingga jokowi pak kenapa tidak bisa diakses wkshwkabduemldbekabejzmfhctf"
"276","Netral",0,"sobatanies partaisocmed jokowi saya jg blm follow dia kok sempat tertarik sih dg pendapat dia akhir akhir ini yg objektif pada kekuasaantapi namanya jg manusia ah sudahlah"
"277","Negatif",-2,"new post akankah jokowi menjadi musuh nkri "
"278","Negatif",-4,"loudminorities biasa yg doa kek gini bukan mikirin rakyat tapi mikirin kepentingan kelompoknya kena hasutan provokator amp politisi hitam mrk susah zaman jokowi keknya"
"279","Negatif",-1,"vivacoid pak jokowi memang giant killer waktu itu prabowo yg mengusungnya jadi gubernur sekarang jadi menterinya pdip dan ketua umumnya masa gak panik sih"
"280","Positif",1,"helmifelis jokowi panitia untung ribu "
"281","Netral",0,"alextham takut bobroknya sendiri kebongkarera jokowi semua terwujut pembanguntidak ada yg mangkrakbravo pak jokowi "
"282","Netral",0,"setuju apa kata bapak jokowi semangat untuk pemimpin kita berikutnya semua bisa meneruskan apa yang sudah di kerjakan nusantarabersatu gbk jokowi minggu relawanjokowi indonesiamaju gerakanmerahputih "
"283","Positif",1,"agenda lengkap nusantara bersatu di gbk silaturahmi relawan jokowi hingga galang dana gempa cianjur "
"284","Negatif",-1,"andisinulingga jokowi ada yang panik sdh road show gak laku ada rupa ada harga "
"285","Netral",0,"robi presidenmerdeka sayasetiankri tanmarm jokowi mana bukti nya acara nipu"
"286","Negatif",-1,"miduk  terungkap bukan sukarela peserta akui dibayar rp ribu untuk datangi acara relawan jokowi di gbk "
"287","Positif",2,"madebylaluna ajakan bocil utk nikmati hidup amp life style hidup foya aniesbaswedan aniesfor ganjarpranowo jokowi sutanmangara bachrumachmadi oposisicerdas geloraco pakjk mdyasmara tatakujiyati ekowboy musniumar agusyudhoyono geiszchalifah sbyudhoyono sctv"
"288","Netral",0,"leviosafa jokowi udah enek"
"289","Negatif",-1,"leonitalestari pdiperjuangan jokowi hasto wah rambutnya putih kerut di wajah pun ada hmmm"
"290","Negatif",-1,"democrazymedia ngibulll emang junjungan loo takutnya kadrunn sama massa jokowi dipersoalkan mikir periode dak nyapres dan sesuai konstitusi periode jokowi lo sasar trussstress dan oekokk"
"291","Negatif",-3,"detikcom pak jokowi juga mikir rakyat tapi rambut tetap hitam jd agak kurang pas"
"292","Netral",0,"ferdyferandi jokowi mohmahfudmd listyosigitp ini kapolres intoleran "
"293","Netral",0,"sebateverytime bluelinedot dkijakarta majalahjakita pttransjakarta ada kok om di kampung halaman ortu pakdhe jokowi mirip jantung pisang klutuk "
"294","Netral",0,"jokowi presiden seharusnya berdiri di semua golongan"
"295","Netral",0,""
"296","Netral",0,"jokowi nglawak"
"297","Positif",1,"komentari aksi relawan jokowi di gbk legislator jangan jebakjokowi "
"298","Negatif",-2,"tanpa pakde jokowi pdip tdk mungkin menjadi partai pemenang pemilu dua periode saya bukan kader pdip tapi karena pakde jokowi makanya saya jadi senang pdip nah kalau pdip singkirkan pakde jokowi ganjar amp gibran maka selamat tinggal pdip "
"299","Negatif",-1,"jokowi lah kok komennya malah negatif "
"300","Negatif",-1,"restycayah kaesangp gibrantweet jokowi divhumaspolri puspentni mohmahfudmd fifacom pssi hey drun setelah ngatain kotor puas lanjutkan kan mmg kamu lahir dari dubur ini loh pemuja mu aniesbaswedan "
"301","Negatif",-1,"jayak putridrupadi maryshelparaiso masyarakat mengapresiasi pembangunan infrastruktur era presiden jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"302","Positif",1,"asumsico sinyal bhw puanmaharaniri mnrt kriteria jokowi ini tdk masuk sbg pemimpin yg mikirin rakyat"
"303","Netral",0,"ngigau kau seruanhl justru kegiatan ini hanya merendahkan jokowi coba kau dengar apa pendapat pdi presiden aktif itu harusnya tidak takut ditinggal pendukung sbb cinta rakyat itu datang bkn krn ngumpul gini tapi manfaat dari jokowi jangan kau jadi sampah politik  "
"304","Negatif",-4,"abdulkh jokowi serahkan semua sama yg diatas apabila yang maha esa berkehendak semua bisa saja terjadi karena lahir hidup dan mati hanya tuhan yg tau  salam nkri "
"305","Netral",0,"mangdjanabdg hermanbudisant akunkeenam rahmaniarbaftim misskoral hmmurahmurahhm yoanangelic jokowi kiyaimarufamin tenaneeee"
"306","Netral",0,"bradharizz jokowi toh gak bisa memenangkan pilpresuntuk apa"
"307","Positif",1,"mananpodungge lu liat deh di cianjur para relawan sama bantuan ajah masih di palakin lawak banget jokowi yang kanjuruhan dateng ngebantu di kelarin biar adil liat noh partai nya diake seol itaewon aja mereka bisasetidaknya jokowi kesana buat liat kondisi oh gini oke harus di siapin"
"308","Netral",0,"maryshelparaiso ennylowe jokowi majukan pembangunan indonesia jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia jokowibapakinfrastruktur"
"309","Negatif",-4,"jokowi astaghfirullah segeralah bertobat om jokowi apakah dirimu tidak malu dengan anak cucumu kelak apakah kau tidak takut akan siksa kubur dan akherat kelak ya alloh berilah om jokowi hidayahmu"
"310","Negatif",-2,"bradharizz jokowi segitu ya tapi tetap saja presiden nya pak jokowi "
"311","Positif",1," organisasi profesi bersurat ke jokowi berikut alasan tolak ruukesehatan "
"312","Positif",1," organisasi profesi bersurat ke jokowi berikut alasan tolak ruukesehatan "
"313","Netral",0,"jokowi sangat s bpk"
"314","Negatif",-1,"muslim arbi jokowi seolah ingin jadi king maker dan mau menikam megawati dari belakang "
"315","Negatif",-4,"imwulannr trendusara tolong ambil juga segi positifnya  dalam acara tersebut juga digelar doa bersama dan penggalangan dana bantuan dari para relawan jokowi untuk para korban gempa cianjur intinya kan pemerintah bersama jajarannya ga tutup mata dan hadir dalam penanganan korban gempa "
"316","Positif",1,"restycayah leoalqassam niluhdjelantik jokowi ini koreng memang by design buat bintang iklan"
"317","Negatif",-5,"tnhr micheladaml micheladam jokowi bisanya menipu menindas memeras mengancam mengintimidasi memenjarakanmerampas harta dan berbagai aset rakyat semua rakyat pasti ikhlas melepas kepergian beliau dari istana rakyat rakyatlebihcintaanies rakyatlebihcintaanies"
"318","Negatif",-4,"jokowi sekarang jaman uda beda pakde berkeringat bersama rakyat kerjax gitu bodoh amat pantes dikerjain china mulu  klo pemimpin hebat itu ajak elaborasi dan kolaborasi pemilik modal dan rakyat untuk sejahtera bersama bukan kaya sendiri  "
"319","Negatif",-1,"andisinulingga jokowi marah mulu drun"
"320","Negatif",-4,"sari opposite cerminan pendukung buzzer jokowi maruf amin congor orang beragama lebih bagus sama orang kafir hanya di zaman pemerintah jokowi maruf amin buzzer bisa omong begitu"
"321","Positif",1,"fanyyfawak aprilialin jokowi masa sihh bang "
"322","Positif",1,"jokowi segeralah turun pak capek hidup di rezim ini"
"323","Netral",0," sebetulnya gak sulit untuk mencerna kalimat pak jokowi ini pak jokowi sedang mengingatkan pilihlah pemimpin yang bersungguh amp ikhlas bekerja untuk rakyat pemimpin yang betulbetul bekerja menyejahterakan rakyatnya memerangi kemiskinan "
"324","Negatif",-2," catatan musra relawan jokowi setelah hrs berhasil gelar reuni jokowi juga unjuk kekuatan dengan adakan ulang tahun fatayat nu yang belum tiba saatnya ultah saat itu di gbk rakyatlebihcintaanies rakyatlebihcintaanies "
"325","Negatif",-6,"jokowi saya ngtag jokowi sebagai orang yg ditunjuk relawan untuk isi acara bukan pejabat negara jadi jangan dianggap ngina kepala negara wi jokowi lambemu palsu wi jokowi lambemu palsu wi jokowi lambemu palsu "
"326","Negatif",-2,"aniesbaswedan ohh jadi bapak dulu mendikbud yang gk bisa kerja ya pak yang bisa nya olah kata yang akhirnya dipecat sama pak jokowi trus jadi barisan mantan yang sakit hati dan sekrang dendam punya ambisi jadi ri semoga bapak jadi ri ke "
"327","Negatif",-1,"kendalbo sweenpickaw helmifelis jokowi loh kan yg opoaisinya yg kek babi "
"328","Negatif",-2,"ribuan ibuibu nu merasa ditipu diundang ke gbk jakarta untuk istighosah ternyata acara berbau politik relawan jokowi dengan musik dangdut "
"329","Netral",0,"inilahdotcom jokowi jkw tau penyakit makanya ngga dateng "
"330","Positif",1,"ridwana getarannusa maryshelparaiso terima kasih pak jokowi masyarakat bangga jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"331","Positif",1," catatan musra relawan jokowi jokowi pdip unjuk kekuatan relawan berbayar di gubk untuk saingi pendukung anies yang selalu membludak di berbagai daerah yang dikunjungi anies rakyatlebihcintaanies rakyatlebihcintaanies "
"332","Negatif",-5,"hidayat joksuper pencerah emang dikiranya yg lulus slta dan kuliah cuma di zaman jokowi woi cebong goblok bodoh n tolol yg lulus sma dan kuliah sejak zaman bung karno udah ada kalau tolol jangan diborong sendiri "
"333","Negatif",-1,"triliuner ayubharis jokowi moncong macam kau ini membawa keretakan"
"334","Positif",3,"nuraini matanepicek punokawan detikcom katanya rejeki lewat tangan jokowi giliran ada pandemi rejeki dibalikin ke tangan tuhan taek luh"
"335","Negatif",-1,"naturalmichin partaisocmed jokowi mas tum partaisocmed mungkin bisa berkawn dgn akun krisna diatas "
"336","Negatif",-3,"triliuner chusnulch jokowi da gua kata lu kalo punya data cari berita peak  lu ngapain ampe ngetag kesana kemari peak lu "
"337","Positif",1,"bobbietrussell maryshelparaiso mantap terima kasih pak jokowi salam dari surabaya jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"338","Positif",1,"nadegemarzan putridrupadi maryshelparaiso mantap terima kasih pak jokowi salam dari surabaya jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"339","Positif",1,"rantajawi jayak maryshelparaiso itu semua berkat kinerja pak jokowi yang sangat baik masyarakat bangga jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"340","Positif",2,"kepercayaan yg diberikan presiden jokowi pada erick thohir bukanlah tanpa dasar jokowi tahu persis kemampuan dan rasa tanggung jawab erick thohir setiap kali menjalankan tugas negara kecerdasan dan kepiawaiannya bisa diandalkan bangkitbersamaet "
"341","Netral",0,""
"342","Negatif",-5,"alfkey sekali lagi doa ku ini berlaku jika kau masih ga sadar sadar klo udh sadar alias tobat yaa alhamdulillah anda mudahan aja selamat dari dampak parah krisis iklim yg salah satunya diakibatkan oleh ulah jokowi"
"343","Negatif",-1,"jokowi kanjuruancianjur bp malh ngadain pesta dn luc malh nyurh pilh plesiden p sby g ad sewktu beliau mo berhnti"
"344","Negatif",-1,"karsono panjianom diekclev wawan veelgeno sigromilir bonaleles winotoali uplu alamtimur biang nembenetes anwarbohebo syahriyalkamil meey topan suprayoga ntaryaa rondamedsos afridu mamattobat heryidris alekda jebenk uwongdeso wbintoro shield mahasiswigenz kemurahantuhan kmen mantova wandystjk dwynur salimbonim akamas juniwun aesthetickan nkrihar lovetoba antonku alan azq giofarubi imammursyalin bentir pardoaganis mansurmhd winoto bpsdkijakarta pksejahtera emang kmrn temu kangen relawan itu kampanye pak jokowi periode mas mas hrsnya ke anies dia udh safari politik kmn kmn tp makin memburuk elektabilitasnya"
"345","Negatif",-2,"helmifelis jokowi hahaha sdh g kaget lempar sendiri makan sendiri hal ini buat yg sakit saja krn kalau sembuh harus sakit dahulu"
"346","Negatif",-2,"mananpodungge di saat jokowi berusaha di kira pencitraan sama klean kurang apalagi utang negara udh di lunasinindonesia termasuk negara yang bamgkit di taun depan di masa krisis nya ekonomi dunia segitu masih lu bilang gada hati nurani"
"347","Negatif",-1,"didienazhar untung anak anak pak jokowi orang nya santuycoba kalo bapakmu pas lagi nawar psk dan di post pasti loe kebakaran jembaaaat"
"348","Negatif",-2,"waaaaah goookil emang pada ga bisa ya buang sampah sendiri gituu "
"349","Negatif",-1,"bachrumachmadi jokowi yes mantap pilihan pilpres nanti setelah pak jokowi memberikan clue pilpres ada rambut putih setelah pak prabowo kini pak jokowi memberi ciri rambut putih yaitu pak ganjar mngkn mereka akan jadi capres cawapres"
"350","Negatif",-2,"renhyucz ampun minta ampun kpd bpk jokowi "
"351","Negatif",-2,"helmifelis jokowi gak ikut pilpres tapi ada yang panik "
"352","Netral",0,"kangac bungdenni jokowi emang konstitusi tu apaan"
"353","Negatif",-4,"jokowi bapak jokowi yth tolong pak kepada anak pinggiran tolong sekali lagi tolong mereka pak saya sedih melihat mereka anak cewek di palembang umur sampai tahun di jalan yg mencari bahan bekas tidak sekolah tolong pak akhir jabatan bapak"
"354","Positif",1,"jokowi kalau dalam ajaran islam rambut putih itu tanda harus banyak bertaubat pak tanda jika umur kita sudah masuk ke step berikutnya"
"355","Netral",0,"jokowi bapak tau harga telor naik meraskaan gak"
"356","Negatif",-3,"jokowi selama dinegara ini masih ada rakyat yg bisa di suap uang receh nasi bungkus untuk datang ke acara apapun itu sampai kapanpunsuara rakyat dalam pemilu masih bisa dibeli dengan harga murah jujur saja rakyat bodoh dan miskin memang masih banyak disitulah pemilih anda "
"357","Positif",1,"ucapan selamat bertugas pm malaysia anwar ibrahim dri presiden jokowi  "
"358","Negatif",-1,"putridrupadi maryshelparaiso masyarakat ber terimakasih kepada presiden jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"359","Negatif",-2,"jokowi berarti tahun menjabat rambut masih item contoh pemimpin yg gk pernah mikirin rakyat ya bos"
"360","Negatif",-2,"semua yg keluar dari mulut jokowi itu sampah gan malas banget aku dengerin omongan dia "
"361","Netral",0,"kevynsaverio andisinulingga jokowi maaf ralat yg bener sorry i am is stupid ada isnya ya"
"362","Negatif",-1,"andisinulingga jokowi kowe dipecat arb dari golkar berarti kowe malinglha wong pecatan ngajarin jokowimanusia kayak kamu yg kasih indonesia mundur"
